T;alpha
653.099;0.0358755837793354
653.199;0.0359564241293832
653.299;0.0360382384595524
653.399;0.0361190788096016
653.499;0.0362057630403763
653.599;0.0362943952313937
653.699;0.0363820534422898
653.799;0.036463867772459
653.899;0.0365447081225068
653.999;0.036625548472556
654.099;0.0367073628027252
654.199;0.036788203152773
654.299;0.0368690435028222
654.399;0.0369576756938396
654.499;0.0370472818649771
654.599;0.0371437058969627
654.699;0.037248895750038
654.799;0.0373511636627491
654.899;0.0374485616748562
654.999;0.0375469336670832
655.099;0.0376443316791902
655.199;0.0377417296912973
655.299;0.0378342578027988
655.399;0.0379238639739362
655.499;0.0380056783041054
655.599;0.0380865186541546
655.699;0.0381683329843238
655.799;0.0382491733343717
655.899;0.0383309876645422
655.999;0.03841182801459
656.099;0.0384936423447592
656.199;0.0385744826948084
656.299;0.0386621409057045
656.399;0.0387517470768419
656.499;0.038829665486527
656.599;0.038902713995608
656.699;0.0389757625046875
656.799;0.0390488110137671
656.899;0.0391277034035736
656.999;0.0392095177337428
657.099;0.039290358083792
657.199;0.0393711984338398
657.299;0.039453012764009
657.399;0.0395319051538154
657.499;0.0395971618219268
657.599;0.0396624184900382
657.699;0.0397276751581495
657.799;0.0397929318262609
657.899;0.0398669543154618
657.999;0.0399361069040587
658.099;0.0400003895920487
658.199;0.04006564626016
658.299;0.0401309029282714
658.399;0.0401961595963827
658.499;0.0402604422843727
658.599;0.0403256989524841
658.699;0.0403909556205954
658.799;0.0404552383085868
658.899;0.0405117291556085
658.999;0.0405691939827503
659.099;0.040625684829772
659.199;0.0406831496569151
659.299;0.0407396405039369
659.399;0.04079710533108
659.499;0.0408535961781018
659.599;0.0409110610052449
659.699;0.0409704737926294
659.799;0.0410347564806208
659.899;0.0410912473276425
659.999;0.0411477381746643
660.099;0.041204229021686
660.199;0.0412616938488291
660.299;0.0413152627554868
660.399;0.0413639617615403
660.499;0.0414126607675938
660.599;0.0414613597736473
660.699;0.0415100587797008
660.799;0.041558757785753
660.899;0.0416133006725333
660.999;0.0416697915195551
661.099;0.0417262823665768
661.199;0.0417788772931145
661.299;0.041827576299168
661.399;0.0418743273449788
661.499;0.0419064686889744
661.599;0.0419386100329688
661.699;0.0419707513769644
661.799;0.0420038667010801
661.899;0.0420360080450758
661.999;0.0420681493890715
662.099;0.0421032126734299
662.199;0.0421441198385138
662.299;0.0421850270035991
662.399;0.042225934168683
662.499;0.0422756071548579
662.599;0.0423320980018796
662.699;0.0423885888489014
662.799;0.0424450796959231
662.899;0.0425142322845186
662.999;0.0425882547737196
663.099;0.0426583813424364
663.199;0.0427226640304278
663.299;0.0427879206985391
663.399;0.0428541513467705
663.499;0.0429271998558515
663.599;0.043000248364931
663.699;0.0430703749336479
663.799;0.0431356316017592
663.899;0.0431999142897492
663.999;0.0432651709578606
664.099;0.0433294536458506
664.199;0.0433956842940833
664.299;0.0434687328031629
664.399;0.0435417813122438
664.499;0.0436206737020503
664.599;0.0437024880322195
664.699;0.0437774845015418
664.799;0.0438515069907428
664.899;0.043933321320912
664.999;0.0440141616709598
665.099;0.044095002021009
665.199;0.0441816862517837
665.299;0.0442703184428011
665.399;0.0443599246139385
665.499;0.0444495307850773
665.599;0.0445391369562148
665.699;0.0446287431273522
665.799;0.044718349298491
665.899;0.0448079554696284
665.999;0.0448975616407672
666.099;0.0449871678119046
666.199;0.0450777479631634
666.299;0.0451751459752705
666.399;0.0452725439873775
666.499;0.0453709159796045
666.599;0.045459548170622
666.699;0.0455491543417594
666.799;0.0456465523538664
666.899;0.0457439503659735
666.999;0.0458413483780791
667.099;0.045945564251033
667.199;0.0460507541041083
667.299;0.0461569179373049
667.399;0.0462630817705016
667.499;0.0463692456036968
667.599;0.0464744354567721
667.699;0.0465767033694846
667.799;0.0466741013815903
667.899;0.0467714993936973
667.999;0.0468688974058044
668.099;0.04696532143779
668.199;0.0470705112908639
668.299;0.0471766751240606
668.399;0.0472867348777413
668.499;0.0473997165717848
668.599;0.0475136722459497
668.699;0.0476276279201146
668.799;0.0477415835942794
668.899;0.0478555392684429
668.999;0.0479733908630919
669.099;0.048095138378225
669.199;0.0482168858933595
669.299;0.0483318155476444
669.399;0.0484409013212038
669.499;0.048546091174279
669.599;0.0486532289875957
669.699;0.0487613407810351
669.799;0.0488587387931407
669.899;0.0489561368052478
669.999;0.0490535348173548
670.099;0.0491509328294604
670.199;0.0492483308415675
670.299;0.0493398849729477
670.399;0.0494294911440851
670.499;0.0495181233351025
670.599;0.0496125994068454
670.699;0.0497090234388311
670.799;0.0498073954310595
670.899;0.0499038194630452
670.999;0.0500021914552722
671.099;0.0500937455866524
671.199;0.0501823777776698
671.299;0.0502690620084445
671.399;0.0503499023584923
671.499;0.0504307427085415
671.599;0.0505115830585893
671.699;0.0505865795279117
671.799;0.0506644979375967
671.899;0.0507453382876459
671.999;0.0508252046575724
672.099;0.0508982531666533
672.199;0.0509713016757329
672.299;0.0510443501848125
672.399;0.0511173986938921
672.499;0.0511962910836986
672.599;0.0512771314337478
672.699;0.0513579717837956
672.799;0.051446603974813
672.899;0.0515362101459504
672.999;0.0516258163170892
673.099;0.0517144485081053
673.199;0.0518040546792441
673.299;0.0518936608503815
673.399;0.0519832670215203
673.499;0.0520728731926577
673.599;0.0521585834433124
673.699;0.0522491635945712
673.799;0.0523377957855887
673.899;0.0524254539964833
673.999;0.0525062943465325
674.099;0.0525871346965804
674.199;0.052673818927355
674.299;0.0527624511183725
674.399;0.0528520572895113
674.499;0.0529416634606487
674.599;0.0530312696317861
674.699;0.0531237977432877
674.799;0.0532211957553947
674.899;0.0533185937675018
674.999;0.0534120958591233
675.099;0.0535007280501407
675.199;0.0535893602411582
675.299;0.053670200591206
675.399;0.0537510409412538
675.499;0.053831881291303
675.599;0.0539127216413508
675.699;0.0539945359715214
675.799;0.0540744023414478
675.899;0.0541532947312543
675.999;0.0542341350813035
676.099;0.0543208193120782
676.199;0.0544104254832156
676.299;0.054499057674233
676.399;0.0545896378254918
676.499;0.0546724261357824
676.599;0.0547532664858316
676.699;0.0548350808160008
676.799;0.0549246869871382
676.899;0.0550220849992452
676.999;0.0551194830113523
677.099;0.0552168810234579
677.199;0.055314279035565
677.299;0.055411677047672
677.399;0.0555081010796563
677.499;0.0555977072507951
677.599;0.0556873134219325
677.699;0.0557856854141609
677.799;0.0558879533268721
677.899;0.0559931431799473
677.999;0.0560983330330226
678.099;0.0562044968662192
678.199;0.0563096867192945
678.299;0.0564158505524898
678.399;0.0565288322465333
678.499;0.0566427879206982
678.599;0.0567557696147416
678.699;0.0568609594678169
678.799;0.0569739411618604
678.899;0.0570878968360253
678.999;0.0572028264903115
679.099;0.0573167821644764
679.199;0.0574297638585199
679.299;0.057541771572442
679.399;0.0576469614255173
679.499;0.0577521512785926
679.599;0.0578534452111837
679.699;0.0579508432232894
679.799;0.0580482412353964
679.899;0.0581485611878662
679.999;0.0582459591999732
680.099;0.0583433572120789
680.199;0.0584407552241859
680.299;0.0585401011965343
680.399;0.0586452910496096
680.499;0.0587504809026849
680.599;0.0588556707557601
680.699;0.0589608606088354
680.799;0.0590670244420307
680.899;0.0591722142951059
680.999;0.0592764301680598
681.099;0.0593738281801669
681.199;0.0594760960928794
681.299;0.0595812859459533
681.399;0.0596864757990286
681.499;0.0598043273936775
681.599;0.0599192570479638
681.699;0.0600322387420073
681.799;0.0601461944161722
681.899;0.060261124070457
681.999;0.0603750797446219
682.099;0.0604890354187868
682.199;0.0606029910929517
682.299;0.0607169467671165
682.399;0.0608386942822496
682.499;0.0609614157775041
682.599;0.0610831632926372
682.699;0.0612019888674076
682.799;0.0613149705614511
682.899;0.0614260042952518
682.999;0.0615360640489326
683.099;0.0616500197230975
683.199;0.0617639753972623
683.299;0.0618769570913058
683.399;0.0619909127654707
683.499;0.0621048684396356
683.599;0.0622178501336791
683.699;0.0623230399867544
683.799;0.0624282298398296
683.899;0.0625343936730249
683.999;0.0626405575062215
684.099;0.0627545131803864
684.199;0.0628684688545513
684.299;0.0629824245287148
684.399;0.0630963802028797
684.499;0.0632064399565604
684.599;0.0633194216506039
684.699;0.0634255854838005
684.799;0.0635307753368758
684.899;0.0636369391700711
684.999;0.0637431030032677
685.099;0.063848292856343
685.199;0.0639573786299024
685.299;0.0640625684829776
685.399;0.0641677583360529
685.499;0.0642739221692482
685.599;0.064374242121718
685.699;0.0644784579946718
685.799;0.0645924136688367
685.899;0.0647063693430016
685.999;0.0648193510370451
686.099;0.06493330671121
686.199;0.0650472623853748
686.299;0.0651612180595397
686.399;0.0652761477138246
686.499;0.0653978952289577
686.599;0.0655196427440922
686.699;0.0656384683188612
686.799;0.065752423993026
686.899;0.0658654056870695
686.999;0.065978387381113
687.099;0.0660991609161262
687.199;0.066213116590291
687.299;0.0663241503240918
687.399;0.066429340177167
687.499;0.0665355040103637
687.599;0.0666406938634376
687.699;0.0667468576966342
687.799;0.0668520475497095
687.899;0.0669572374027848
687.999;0.06706242725586
688.099;0.0671676171089353
688.199;0.0672728069620106
688.299;0.067372152934359
688.399;0.0674617591054964
688.499;0.0675503912965138
688.599;0.0676399974676512
688.699;0.06772960363879
688.799;0.0678231057304116
688.899;0.0679205037425186
688.999;0.0680179017546257
689.099;0.0681182217070954
689.199;0.0682195156396852
689.299;0.0683159396716709
689.399;0.0684133376837779
689.499;0.068510735695885
689.599;0.0686081337079906
689.699;0.0687055317200976
689.799;0.0688097475930515
689.899;0.0689071456051586
689.999;0.0690055175973856
690.099;0.0691116814305822
690.199;0.0692168712836575
690.299;0.0693356968584265
690.399;0.069458418353681
690.499;0.0695733480079672
690.599;0.0696873036821321
690.699;0.0698002853761756
690.799;0.0699142410503405
690.899;0.0700213788636571
690.999;0.0701265687167324
691.099;0.0702317585698076
691.199;0.0703369484228829
691.299;0.0704431122560782
691.399;0.0705483021091534
691.499;0.0706534919622287
691.599;0.070758681815304
691.699;0.0708648456485006
691.799;0.0709749054021814
691.899;0.0710888610763449
691.999;0.0711979468499043
692.099;0.0713031367029795
692.199;0.0714131964566603
692.299;0.0715271521308252
692.399;0.07164110780499
692.499;0.0717521415387908
692.599;0.0718534354713819
692.699;0.071950833483489
692.799;0.0720569973166842
692.899;0.0721631611498809
692.999;0.0722693249830775
693.099;0.0723745148361528
693.199;0.0724816526494694
693.299;0.0725897644429074
693.399;0.0726959282761041
693.499;0.0728020921093007
693.599;0.0729072819623746
693.699;0.0730124718154499
693.799;0.0731176616685251
693.899;0.0732209035613577
693.999;0.0733173275933433
694.099;0.0734147256054504
694.199;0.0735121236175574
694.299;0.0736095216296631
694.399;0.0737069196417701
694.499;0.0738043176538771
694.599;0.0739017156659828
694.699;0.0739981396979685
694.799;0.0740965116901969
694.899;0.0741870918414557
694.999;0.0742844898535627
695.099;0.0743818878656684
695.199;0.074488051698865
695.299;0.0746020073730299
695.399;0.0747149890670734
695.499;0.0748289447412382
695.599;0.0749487442961286
695.699;0.0750617259901721
695.799;0.075175681664337
695.899;0.0752896373385018
695.999;0.0753948271915771
696.099;0.0755039129651365
696.199;0.0756178686393014
696.299;0.075734746253829
696.399;0.0758574677490835
696.499;0.0759792152642166
696.599;0.0760960928787442
696.699;0.0762100485529091
696.799;0.0763240042270739
696.899;0.0764311420403906
696.999;0.0765441237344341
697.099;0.0766522355278735
697.199;0.0767545034405846
697.299;0.0768596932936599
697.399;0.0769648831467352
697.499;0.0770700729998104
697.599;0.0771762368330057
697.699;0.0772814266860809
697.799;0.0773875905192776
697.899;0.0774957023127156
697.999;0.0776096579868805
698.099;0.0777304315218922
698.199;0.0778473091364212
698.299;0.0779612648105847
698.399;0.0780752204847496
698.499;0.0781891761589144
698.599;0.0783021578529579
698.699;0.0784073477060332
698.799;0.0785135115392298
698.899;0.0786196753724251
698.999;0.078723891245379
699.099;0.0788349249791811
699.199;0.0789479066732246
699.299;0.0790618623473895
699.399;0.0791758180215544
699.499;0.0792887997155979
